code_prefix,name,id,parent_id:id
1380,Result of Period,azkatech_gaccount_lb_260,azkatech_gaccount_lb_78
1390,Result Of Period-Loss,azkatech_gaccount_lb_261,azkatech_gaccount_lb_79
1410,Investment Subsidies Received,azkatech_gaccount_lb_262,azkatech_gaccount_lb_80
1450,Investment Subsidies Transferred to Results,azkatech_gaccount_lb_263,azkatech_gaccount_lb_81
1511,Provisions for litigation and sundry contingencies,azkatech_gaccount_lb_264,azkatech_gaccount_lb_82
1512,Provisions in respect of guarantees given to customers,azkatech_gaccount_lb_265,azkatech_gaccount_lb_82
1513,Provisions for losses on exchange,azkatech_gaccount_lb_266,azkatech_gaccount_lb_82
1514,Provisions for losses on future transactions,azkatech_gaccount_lb_267,azkatech_gaccount_lb_82
1515,Provisions for fines and penalties,azkatech_gaccount_lb_268,azkatech_gaccount_lb_82
1551,Provisions for deferred charges,azkatech_gaccount_lb_269,azkatech_gaccount_lb_83
1552,Provisions for employee end of service indemnities and similar obligation,azkatech_gaccount_lb_270,azkatech_gaccount_lb_83
1553,Provisions for taxes,azkatech_gaccount_lb_271,azkatech_gaccount_lb_83
1610,Loans Against Debenture,azkatech_gaccount_lb_272,azkatech_gaccount_lb_84
1620,Loans From Financial Instituations,azkatech_gaccount_lb_273,azkatech_gaccount_lb_85
1681,Notes payable resulting from the purchase of the enterprise,azkatech_gaccount_lb_274,azkatech_gaccount_lb_86
1682,Deposits and guarantees,azkatech_gaccount_lb_275,azkatech_gaccount_lb_86
1683,Advances from the government,azkatech_gaccount_lb_276,azkatech_gaccount_lb_86
1684,Capitalized life annulties,azkatech_gaccount_lb_277,azkatech_gaccount_lb_86
1689,Other medium and long term debts,azkatech_gaccount_lb_278,azkatech_gaccount_lb_86
1811,Balance of the period,azkatech_gaccount_lb_279,azkatech_gaccount_lb_87
1815,Movements of the period,azkatech_gaccount_lb_280,azkatech_gaccount_lb_87
1860,Inter-company Charges,azkatech_gaccount_lb_281,azkatech_gaccount_lb_88
1870,Intercompany Income,azkatech_gaccount_lb_282,azkatech_gaccount_lb_89
1910,Determination of Gross Trading Margin,azkatech_gaccount_lb_283,azkatech_gaccount_lb_90
1920,Determination Of Value Added,azkatech_gaccount_lb_284,azkatech_gaccount_lb_91
1930,Determination Of Gross Operating Income,azkatech_gaccount_lb_285,azkatech_gaccount_lb_92
1940,Determination Of Results,azkatech_gaccount_lb_286,azkatech_gaccount_lb_93
1950,Determination Of Current Results,azkatech_gaccount_lb_287,azkatech_gaccount_lb_94
1960,Determination Of Non Operating Results,azkatech_gaccount_lb_288,azkatech_gaccount_lb_95
1970,Determination Of Period Results,azkatech_gaccount_lb_289,azkatech_gaccount_lb_96
2110,Business Concern,azkatech_gaccount_lb_290,azkatech_gaccount_lb_97
2120,Establishment Expneses,azkatech_gaccount_lb_291,azkatech_gaccount_lb_98
2130,R &D,azkatech_gaccount_lb_292,azkatech_gaccount_lb_99
2140,Patanets,azkatech_gaccount_lb_293,azkatech_gaccount_lb_100
2190,Other Intangible Fixed Assets,azkatech_gaccount_lb_294,azkatech_gaccount_lb_101
2191,Lease,azkatech_gaccount_lb_295,azkatech_gaccount_lb_101
2198,Advance payments on account of intagible fixed assets,azkatech_gaccount_lb_296,azkatech_gaccount_lb_101
2211,Naked Land,azkatech_gaccount_lb_297,azkatech_gaccount_lb_102
2212,Built lands(Real estate complexes),azkatech_gaccount_lb_298,azkatech_gaccount_lb_102
2213,Extractive land Sites(Mines&Ouarris),azkatech_gaccount_lb_299,azkatech_gaccount_lb_102
2214,Land development and Reclamation,azkatech_gaccount_lb_300,azkatech_gaccount_lb_102
2231,Buildings,azkatech_gaccount_lb_301,azkatech_gaccount_lb_103
2232,General Installation and leasehold improvements,azkatech_gaccount_lb_302,azkatech_gaccount_lb_103
2233,"Infrastructure works(Dams,Airport,Runways)",azkatech_gaccount_lb_303,azkatech_gaccount_lb_103
2234,Construction on leasehold land,azkatech_gaccount_lb_304,azkatech_gaccount_lb_103
2241,Specialized installations,azkatech_gaccount_lb_305,azkatech_gaccount_lb_104
2242,specific installations,azkatech_gaccount_lb_306,azkatech_gaccount_lb_104
2243,Industrial Equipment,azkatech_gaccount_lb_307,azkatech_gaccount_lb_104
